# Data taken  from Mumpower et al PPNP 86 (2016),,,,,,,,,,,,,,,,,,
"# F-b, F-nc, F-m mean sensitivity factors for beta properties, neutron capture, and mass respectively",,,,,,,,,,,,,,,,,,
"# -lehw, -hehw, -cw, -nsm refer to low entropy hot wind, high entropy hot wind, cold wind, neutron star merger",,,,,,,,,,,,,,,,,,
# new (not in Mum16):,,,,,,,,,,,,,,,,,,
# -max means maximum of the four scenarios,,,,,,,,,,,,,,,,,,
# F-all-max means maximum F for all scenarios and all nuclear inputs,,,,,,,,,,,,,,,,,,
# Asterisks replaced with 0.01,,,,,,,,,,,,,,,,,,
# Dashes replaced with 0.001,,,,,,,,,,,,,,,,,,
# Z,N,A,F-b-lehw,F-b-hehw,F-b-cw,F-b-nsm,F-nc-lehw,F-nc-hehw,F-nc-cw,F-nc-nsm,F-m-lehw,F-m-hehw,F-m-cw,F-m-nsr,F-b-max,F-nc-max,F-m-max,F-all-max
30,49,79,0.01,0.03,0.08,0.01,0.01,0.08,0.2,0.01,0.001,0.001,0.001,0.001,0.08,0.2,0.001,0.2
30,52,82,0.01,0.03,0.03,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.01,0.01,0.03,0.22,0.01,0.22
30,53,83,0.01,0.01,0.01,0.01,0.01,0.06,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.11
30,54,84,0.46,0.4,0.05,0.01,0.01,0.01,0.8,0.01,0.01,0.01,0.01,0.01,0.46,0.8,0.01,0.8
30,55,85,0.01,0.01,0.02,0.01,0.01,0.29,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.29,0.01,0.29
30,56,86,4.21,0.7,1,0.01,0.01,0.01,0.17,0.01,0.01,0.01,0.01,0.01,4.21,0.17,0.01,4.21
30,57,87,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.13
31,48,79,0.01,0.01,0.01,0.01,0.01,0.05,0.13,0.01,0.001,0.001,0.001,0.001,0.01,0.13,0.001,0.13
31,54,85,0.01,0.12,0.01,0.01,0.01,0.01,0.19,0.01,0.02,0.04,0.08,0.04,0.12,0.19,0.08,0.19
31,56,87,1.44,1.06,0.02,0.01,0.01,0.01,0.46,0.01,0.32,0.06,0.1,0.06,1.44,0.46,0.32,1.44
